class	CTL	CTL	CTL	CTL	CTL	CTL	CTL	CTL	CTL	CRF	CRF	CRF	CRF	CRF	CRF	CRF	CRF	CRF
k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Porphyromonadaceae	150	162	114	132	86	60	36	286	237	282	286	60	29	139	240	84	59	121
k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Prevotellaceae	20	237	0	57	142	27	696	0	12	161	137	10	15	0	9	0	0	24
k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Prevotellaceae|g__Prevotella	20	0	432	236	364	252	0	0	864	148	508	0	0	4	9	0	5	0
k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Prevotellaceae|g__Prevotella	10	37	400	490	131	756	0	10	178	0	74	30	5	0	0	8	0	18
k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Prevotellaceae|g__Prevotella|s__Prevotella_copri	0	0	0	9	5	7	0	0	0	0	74	2058	15	633	5	0	5	243
k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Porphyromonadaceae	682	87	146	367	268	365	31	59	166	161	127	50	5	0	16	0	0	6
k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Porphyromonadaceae	1143	137	318	424	81	119	0	148	627	54	275	60	0	0	5	0	0	0
k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Prevotellaceae|g__Prevotella	10	25	457	349	632	365	21	0	95	0	402	10	0	0	0	0	0	6
k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Prevotellaceae|g__Prevotella	180	150	95	198	551	139	361	365	0	0	0	149	322	29	104	118	99	249
k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales	852	87	826	622	10	20	0	0	0	0	0	0	54	0	2	0	0	0
k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Porphyromonadaceae	170	212	127	217	76	60	36	306	675	954	455	50	44	139	155	101	59	134
k__Bacteria|p__Firmicutes|c__Bacilli|o__Lactobacillales|f__Streptococcaceae|g__Lactococcus|s__Lactococcus_formosensis	0	62	38	28	20	7	57	237	829	54	751	587	0	0	0	0	0	0
k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales	531	112	6	94	56	40	52	958	178	161	63	179	59	57	97	101	129	158
k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Porphyromonadaceae	10	112	172	75	106	119	15	79	59	537	63	40	73	184	186	421	99	91
k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Prevotellaceae|g__Prevotella	0	12	235	198	298	179	0	0	639	161	391	0	0	8	9	8	0	6
k__Bacteria|p__Proteobacteria|c__Deltaproteobacteria|o__Desulfovibrionales|f__Desulfovibrionaceae|g__Desulfovibrio	0	150	210	85	91	60	36	227	47	121	42	70	44	110	42	25	69	109
k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Porphyromonadaceae	20	50	13	57	5	13	108	99	189	242	106	40	176	123	177	261	178	164
k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales	0	12	0	0	0	0	0	0	0	0	0	50	10	454	85	286	460	24
k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Porphyromonadaceae|g__Parabacteroides|s__Parabacteroides_distasonis	40	0	51	47	51	60	10	59	0	81	137	169	10	290	184	244	203	85
k__Bacteria|p__Firmicutes|c__Bacilli|o__Lactobacillales|f__Lactobacillaceae|g__Lactobacillus|s__Lactobacillus_animalis	110	599	534	188	480	133	304	10	59	67	53	20	0	0	9	0	40	12
k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Bacteroidaceae|g__Bacteroides|s__Bacteroides_dorei	0	0	13	9	10	0	10	10	12	0	63	10	5	74	7	93	20	6
k__Bacteria|p__Proteobacteria|c__Betaproteobacteria|o__Burkholderiales|f__Sutterellaceae|g__Parasutterella|s__Parasutterella_excrementihominis	30	125	38	264	35	7	5	464	296	27	211	119	0	41	35	118	143	24
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales	0	312	57	207	172	60	237	10	545	13	539	10	64	61	80	25	45	225
k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Porphyromonadaceae	110	112	25	28	71	66	0	30	0	40	32	0	93	253	417	286	198	121
k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Bacteroidaceae|g__Bacteroides|s__Bacteroides_stercoris	0	12	13	0	5	0	5	0	24	0	11	80	0	282	2	1254	900	12
k__Bacteria|p__Firmicutes|c__Erysipelotrichia|o__Erysipelotrichales|f__Erysipelotrichaceae|g__Holdemania|s__Holdemania_filiformis	0	62	0	0	0	0	5	0	0	0	0	60	54	188	155	244	139	170
k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Porphyromonadaceae	301	150	140	122	61	80	36	10	107	282	169	80	10	0	26	0	5	0
k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Prevotellaceae|g__Prevotella	180	100	0	0	0	7	737	0	0	0	11	80	225	4	0	8	0	24
k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Prevotellaceae	30	37	362	433	96	676	0	10	142	54	95	10	10	0	7	0	0	0
k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Porphyromonadaceae	0	112	32	283	35	152	10	306	0	0	0	179	59	16	245	25	45	73
k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Porphyromonadaceae|g__Parabacteroides	10	100	70	19	283	152	72	109	0	27	434	477	29	4	0	227	64	577
k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Porphyromonadaceae|g__Parabacteroides|s__Parabacteroides_distasonis	0	37	6	19	30	33	15	118	107	81	95	50	10	274	160	1506	232	73
k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Bifidobacteriales|f__Bifidobacteriaceae|g__Bifidobacterium|s__Bifidobacterium_pseudolongum_subsp._globosum	0	12	0	9	0	0	0	0	12	0	106	0	20	662	7	0	252	30
k__Bacteria|p__Firmicutes|c__Negativicutes|o__Selenomonadales|f__Acidaminococcaceae|g__Phascolarctobacterium|s__Phascolarctobacterium_succinatutens	201	524	44	273	131	258	289	425	249	296	180	219	415	229	200	547	361	388
k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Bacteroidaceae|g__Bacteroides|s__Bacteroides_caccae	80	50	6	236	25	13	15	99	24	81	275	70	0	94	2	353	5	6
