#OTU ID	A11	A21	A31	A41	A51	B11	B21	B31	B41	B51	C11	C21	C31	C41	C51	D11	D21	D31	D41	D51	E11	E21	E31	E51	F11	F21	F31	F41	F51
ASV_53	20	70	38	37	30	9	10	39	49	44	641	325	450	243	574	112	301	268	420	156	369	326	101	333	437	364	475	412	249
ASV_54	1888	265	1284	1271	121	5018	950	1127	444	1671	2	3	5	7	0	0	0	4	3	0	3	0	0	0	0	0	0	0	0
ASV_55	40	210	192	70	75	133	116	151	142	193	477	348	359	725	559	308	60	253	536	83	198	264	35	105	215	187	205	242	103
ASV_56	89	296	469	223	282	390	324	496	638	410	260	152	272	356	383	315	75	218	280	83	113	105	15	92	222	235	164	295	166
ASV_57	10	8	0	0	3	53	0	306	0	0	94	86	72	14	11	234	2255	832	102	719	93	19	76	52	40	110	36	65	130
ASV_58	2491	152	1322	549	161	555	436	132	765	254	12	3	0	3	4	7	0	8	0	0	26	16	5	0	0	0	0	29	482
ASV_59	3	16	0	0	0	53	3	186	0	0	51	43	37	7	23	220	1900	529	72	681	76	16	146	62	55	103	22	26	100
ASV_6	3184	5621	11217	8382	7814	11181	283	14291	8171	9836	29	196	20	31	15	13	30	4	0	32	0	9	25	0	106	77	19	36	10
ASV_60	2120	257	1268	459	111	510	255	163	632	171	0	3	0	0	4	0	0	0	3	0	6	3	0	3	4	0	0	3	133
ASV_61	3	16	17	20	13	13	34	0	46	236	29	345	423	82	230	456	328	233	65	41	433	791	1226	31	106	48	22	13	342
ASV_62	1514	121	494	259	321	177	347	225	6	102	106	10	40	140	65	110	47	264	78	47	375	440	146	9	87	4	103	29	149
ASV_63	222	117	105	116	279	22	89	139	56	69	188	83	1605	164	65	4	94	78	51	168	180	298	192	592	477	125	272	69	30
ASV_64	80	39	88	96	62	852	17	167	188	22	200	438	467	250	65	499	328	136	51	327	52	239	262	111	306	59	106	360	621
ASV_65	43	105	96	23	69	98	58	43	89	102	460	272	359	212	501	124	182	303	249	109	207	167	71	234	240	180	228	213	193
ASV_66	40	230	226	146	223	200	194	310	404	272	116	106	158	164	203	292	90	128	140	59	55	96	10	55	69	129	133	144	173
ASV_67	404	394	368	516	377	368	160	391	173	247	34	17	178	126	38	213	42	58	72	121	134	329	131	290	182	151	81	173	156
ASV_68	3	82	0	0	272	0	2013	15	0	0	0	0	22	55	15	63	201	544	55	159	474	307	76	237	4	2597	8	10	40
ASV_69	60	78	75	86	95	115	24	74	77	113	540	136	418	475	777	297	65	229	437	88	247	298	25	136	419	286	347	550	259
ASV_7	142	647	4	90	23	4	187	566	6	4	639	6987	12583	3517	3240	7	2648	39	3145	1424	4017	3838	2825	6137	877	2332	144	1670	1724
ASV_70	36	366	368	213	239	342	358	527	657	410	253	212	294	465	367	238	77	190	348	68	145	149	10	43	186	253	203	295	136
ASV_71	7	82	126	100	72	133	48	54	404	189	268	235	415	499	800	281	99	190	249	121	102	267	0	92	375	169	230	190	86
ASV_72	775	873	904	249	439	519	157	968	231	203	89	20	124	44	19	2	149	47	123	74	163	115	227	185	102	77	183	190	143
ASV_73	613	1688	414	446	1613	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV_74	76	179	456	146	118	138	31	77	130	73	46	438	218	14	122	378	147	101	174	578	20	65	50	160	197	228	75	82	472
ASV_75	40	776	79	0	39	120	565	12	6	0	65	7	129	27	237	216	196	179	153	304	1079	68	303	3	1442	305	1052	43	392
ASV_76	13	569	0	283	111	0	14	8	0	7	7	126	265	62	184	418	65	478	34	65	93	251	489	74	106	261	58	75	648
ASV_77	772	409	682	103	193	204	514	209	296	487	7	23	69	68	23	160	22	93	72	41	44	180	76	65	91	353	11	29	113
ASV_78	1063	3793	360	366	649	142	1076	201	34	25	0	3	0	0	0	52	2	136	0	6	3	16	0	0	4	11	0	13	0
ASV_79	73	460	360	319	515	373	153	329	546	418	656	517	544	427	681	560	659	486	460	377	305	437	172	382	484	683	777	753	820
ASV_8	431	744	741	682	731	621	310	538	509	538	2729	2161	1901	2338	2785	2580	2347	2021	2483	2359	1926	2682	1831	2592	2319	2024	3262	2913	2498
ASV_80	43	133	126	27	85	80	61	77	52	54	140	212	153	41	50	133	174	148	34	254	35	251	136	108	55	66	139	85	232
ASV_81	1670	456	79	3243	23	3940	112	19	6	1769	2	0	2	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV_82	212	288	527	116	269	151	68	407	234	120	99	50	17	202	1029	130	303	8	55	315	12	226	605	37	29	26	47	13	23
ASV_83	13	0	0	30	85	18	14	4	0	22	256	80	121	157	84	49	20	27	17	62	52	3	131	620	695	140	275	419	1827
ASV_84	4039	136	1904	948	144	918	1117	132	863	410	5	0	0	3	4	2	2	0	0	6	15	9	10	3	0	15	0	10	56
